//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status	
0	圣诞商人行会会长	1	415	12	16400,25200	16400,25200	346	圣诞村	135	0	Xmas_talk01	0	
1	圣诞杂货商	1	1053	12	19400,25200	19400,25200	288	圣诞村	165	0	Xmas_talk02	0	
2	圣诞礼品商	1	1053	12	17500,25600	17500,25600	85	圣诞村	135	0	Xmas_talk03	0	
3	圣诞商人·我行我酷	1	856	12	12541,25363	12541,25363	40	圣诞村	135	0	Xmas_talk04	0	
4	圣诞商人·我酷我行	1	856	12	11417,25370	11417,25370	310	圣诞村	135	0	Xmas_talk05	0	
5	圣诞商人·学者	1	425	12	9164,25034	9164,25034	355	圣诞村	135	0	Xmas_talk06	0	
6	斐谢特	1	1064	0	22000,4000	22000,4000	175	圣诞村	135	0	el_talk29	0	
7	圣诞老人的洗衣机	1	724	0	8404,3734	8404,3734	180	圣诞村	135	0	el_talk30	0	
8	Chirstmas Tree	1	1042	0	14404,16035	14404,16035	354	圣诞村	135	0	el_talk05	0	
9	科恩	1	1063	0	14404,25000	14404,25000	354	圣诞村	135	0	Xmas_talk07	0	
10	Santa Claus	1	781	0	14400,17000	14400,17000	180	圣诞村	135	0	Xmas_talk08	0	
11	呆呆的呆呆	1	1065	0	4200,4300	4200,4300	180	圣诞村	135	0	peter_talk01	0	
12	游客·伊玛	1	15	0	9600,5100	9600,5100	90	圣诞村	135	0	peter_talk02	0	
13	西林的爸爸	1	440	0	8800,4000	8800,4000	180	圣诞村	135	0	peter_talk03	0	
14	游客·温努	1	405	0	6100,4300	6100,4300	180	圣诞村	135	0	peter_talk04	0	
15	哈根大叔	1	453	0	2800,11900	2800,11900	180	圣诞村	135	0	peter_talk05	0	
16	嘻哈小子	1	772	0	7200,4902	7200,4902	180	圣诞村	135	0	peter_talk06	0	
17	卡利米船长	1	803	0	1800,14900	1800,14900	90	圣诞村	135	0	peter_talk07	0	
18	船员艾尼	1	445	0	4200,8600	4200,8600	180	圣诞村	135	0	peter_talk08	0	
19	上尉卡里	1	12	0	25800,25100	25800,25100	268	圣诞村	135	0	peter_talk09	0	
20	海军士兵	1	410	0	19501,3901	19501,3901	180	圣诞村	135	0	peter_talk10	0	
21	游客·罗琳斯	1	441	0	9200,23900	9200,23900	180	圣诞村	135	0	peter_talk11	0	
22	小摊贩朱迪	1	756	0	2700,14500	2700,14500	180	圣诞村	135	0	peter_talk12	0	
23	小摊贩切尔	1	17	0	3301,21601	3301,21601	85	圣诞村	135	0	peter_talk13	0	
24	小摊贩罗门	1	17	0	11600,24000	11600,24000	180	圣诞村	135	0	peter_talk14	0	
25	小摊贩耶亚	1	756	0	25501,12201	25501,12201	220	圣诞村	135	0	peter_talk15	0	
26	篝火老人	1	420	0	23400,8900	23400,8900	365	圣诞村	135	0	peter_talk16	0	
27	白胡子鲁特	1	454	0	13000,23500	13000,23500	180	圣诞村	135	0	peter_talk17	0	
28	老太太克拉	1	18	0	24300,22100	24300,22100	90	圣诞村	135	0	peter_talk18	0	
29	红胡子雷顿	1	1066	0	26401,21001	26401,21001	310	圣诞村	135	0	peter_talk19	0	
30	小摊贩尤卡丹	1	17	0	21201,20301	21201,20301	90	圣诞村	135	0	peter_talk20	0	
31	小淘气西林	1	403	0	22801,5401	22801,5401	180	圣诞村	135	0	peter_talk21	0	
32	短尾巴卡斯	1	1067	0	24101,4301	24101,4301	180	圣诞村	135	0	peter_talk22	0	
33	小女孩西尔文	1	441	0	19101,4501	19101,4501	90	圣诞村	135	0	peter_talk23	0	
34	欧米	1	421	0	20201,6901	20201,6901	270	圣诞村	135	0	peter_talk24	0	
35	佐姆	1	446	0	18701,23901	18701,23901	130	圣诞村	135	0	peter_talk25	0	
36	马克	1	409	0	19201,21300	19201,21300	78	圣诞村	135	0	peter_talk26	0	
37	林克	1	10	0	20800,22100	20800,22100	90	圣诞村	135	0	peter_talk27	0	
38	文娜	1	15	0	3401,19901	3401,19901	180	圣诞村	135	0	peter_talk28	0	
39	圣诞雪人雷格林	1	1062	0	22801,7701	22801,7701	180	圣诞村	135	0	peter_talk29	0	
40	圣诞雪人卡格林	1	1062	0	2801,7601	2801,7601	90	圣诞村	135	0	peter_talk30	0	
41	圣诞篝火	1	867	0	24933,22998	24933,22998	175	圣诞村	135	0	Xmas_talk09	0	
42	土著狂欢者	1	1054	0	24617,23243	24617,23243	40	圣诞村	135	0	Xmas_talk10	0	
43	土著狂欢者	1	1054	0	24956,23442	24956,23442	355	圣诞村	135	0	Xmas_talk11	0	
44	土著狂欢者	1	1054	0	25276,23217	25276,23217	340	圣诞村	135	0	Xmas_talk12	0	
45	土著狂欢者	1	1054	0	25271,22774	25271,22774	220	圣诞村	135	0	Xmas_talk13	0	
46	土著狂欢者	1	1054	0	24931,22571	24931,22571	190	圣诞村	135	0	Xmas_talk14	0	
47	土著狂欢者	1	1054	0	24558,22737	24558,22737	160	圣诞村	135	0	Xmas_talk15	0	
48	小鹿斑比	1	1055	0	4788,6397	4788,6397	325	圣诞村	135	0	Xmas_talk16	0	
49	冰龙萨菲拉	1	1056	0	4560,6287	4560,6287	325	圣诞村	135	0	Xmas_talk17	0	
50	小吉米	1	1057	0	4881,6168	4881,6168	310	圣诞村	135	0	Xmas_talk18	0	
51	快乐的雪娃娃	1	1058	0	4674,6144	4674,6144	295	圣诞村	135	0	Xmas_talk19	0	
52	小猫辛丝	1	1059	0	4809,5978	4809,5978	250	圣诞村	135	0	Xmas_talk20	0	
53	飞熊猫派达	1	1060	0	4832,5767	4832,5767	235	圣诞村	135	0	Xmas_talk21	0	
54	小路易丝	1	1061	0	4640,5852 	4640,5852	250	圣诞村	135	0	Xmas_talk22	0	
55	波尔先生	1	781	0	4414,6022	4414,6022	85	圣诞村	135	0	Xmas_talk23	0	
56	小汤姆	1	414	0	4589,5647	4589,5647	205	圣诞村	135	0	Xmas_talk24	0	
57	圣诞村指导员·蘑菇头	1	772	0	14700,13600	14700,13600	270	圣诞村	135	0	Xmas_talk25	0	
58	圣诞村指导员·争争	1	1053	0	14800,23700	14800,23700	180	圣诞村	135	0	Xmas_talk25	0	
59	小乐尼	1	403	0	9801,23501	9801,23501	180	圣诞村	135	0	peter_talk31	0	
60	拿铁小子	1	402	0	9501,19802	9501,19802	180	圣诞村	135	0	peter_talk32	0	
61	笨蛋约翰	1	772	0	18101,23903	18101,23903	265	圣诞村	135	0	peter_talk33	0	
62	说笑话的麋鹿	1	1046	0	22501,22904	22501,22904	180	圣诞村	135	0	peter_talk34	0	
63	米奇亚外婆	1	401	0	24601,8005	24601,8005	180	圣诞村	135	0	peter_talk35	0	
64	伊鲁森教士	1	429	0	5501,19506	5501,19506	180	圣诞村	135	0	peter_talk36	0	
65	卡鲁	1	19	0	3301,23707	3301,23707	90	圣诞村	135	0	peter_talk37	0	
66	布奇	1	421	0	25501,16008	25501,16008	270	圣诞村	135	0	peter_talk38	0	
67	里纳多	1	415	0	17401,6809	17401,6809	0	圣诞村	135	0	peter_talk39	0	
68	克莱尔	1	29	0	14801,6111	14801,6111	180	圣诞村	135	0	peter_talk40	0	
69	迪可斯	1	840	0	13901,9111	13901,9111	90	圣诞村	135	0	peter_talk41	0	
70	普罗	1	798	0	10901,3412	10901,3412	85	圣诞村	135	0	peter_talk42	0	
71	温尼丽	1	442	0	26401,13813	26401,13813	85	圣诞村	135	0	peter_talk43	0	
72	加菲	1	437	0	6601,8214	6601,8214	180	圣诞村	135	0	peter_talk44	0	
73	问题小多多	1	414	0	26101,8915	26101,8915	180	圣诞村	135	0	peter_talk45	0	
74	奥斯卡	1	803	0	3401,5416	3401,5416	125	圣诞村	90	0	peter_talk46	0	
75	彩颐	1	732	0	19101,8417	19101,8417	85	圣诞村	135	0	peter_talk47	0	
